pickup_date,record_count,Demand_Lag7,Demand_Lag14,Demand_Lag30
2023-08-22,1,,,
2023-09-07,1,,,
2023-09-12,1,,,
2023-09-13,1,,,
2023-09-25,4,,,
2023-09-27,4,,,
2023-10-04,1,,,
2023-10-16,1,13.0,,
2023-10-17,4,13.0,,
2023-10-18,4,16.0,,
2023-10-19,5,19.0,,
2023-10-23,2,23.0,,
2023-10-25,7,21.0,,
2023-10-26,2,24.0,,
2023-10-30,1,25.0,38.0,
2023-11-01,16,25.0,38.0,
2023-11-06,17,37.0,53.0,
2023-11-07,15,50.0,69.0,
2023-11-08,6,60.0,83.0,
2023-11-09,23,64.0,85.0,
2023-11-14,60,80.0,104.0,
2023-11-15,25,138.0,163.0,
2023-11-16,28,162.0,187.0,
2023-11-20,48,174.0,211.0,
2023-11-21,18,205.0,255.0,
2023-11-22,25,208.0,268.0,
2023-11-23,40,227.0,291.0,
2023-11-27,82,244.0,324.0,
2023-11-28,36,266.0,404.0,
2023-11-29,31,277.0,439.0,
2023-11-30,41,280.0,454.0,509.0
2023-12-04,50,273.0,478.0,549.0
2023-12-05,41,305.0,513.0,598.0
2023-12-06,33,321.0,548.0,638.0
2023-12-07,31,314.0,558.0,670.0
2023-12-11,31,263.0,529.0,697.0
2023-12-12,29,258.0,535.0,724.0
2023-12-13,20,256.0,536.0,752.0
2023-12-14,46,235.0,508.0,771.0
2023-12-18,47,231.0,536.0,813.0
2023-12-19,36,237.0,558.0,856.0
2023-12-20,37,240.0,554.0,887.0
2023-12-21,30,246.0,509.0,922.0
2023-12-27,68,245.0,503.0,945.0
2023-12-28,45,284.0,540.0,1011.0
2024-01-02,39,309.0,544.0,1055.0
2024-01-03,33,302.0,533.0,1078.0
2024-01-04,38,288.0,525.0,1094.0
2024-01-05,1,290.0,530.0,1117.0
2024-01-08,75,254.0,500.0,1112.0
2024-01-09,31,299.0,544.0,1164.0
2024-01-10,18,262.0,546.0,1135.0
2024-01-11,38,235.0,544.0,1128.0
2024-01-15,34,234.0,536.0,1138.0
2024-01-16,20,235.0,523.0,1124.0
2024-01-17,27,217.0,507.0,1126.0
2024-01-18,36,243.0,497.0,1128.0
2024-01-19,1,204.0,503.0,1124.0
2024-01-22,52,174.0,436.0,1043.0
2024-01-23,28,208.0,443.0,1059.0
2024-01-24,25,198.0,432.0,1056.0
2024-01-25,37,189.0,424.0,1040.0
2024-01-29,58,206.0,423.0,1027.0
2024-01-30,20,237.0,480.0,1044.0
2024-01-31,19,221.0,425.0,1031.0
2024-02-01,21,239.0,413.0,1019.0
2024-02-05,55,208.0,416.0,1009.0
2024-02-06,18,235.0,433.0,1035.0
2024-02-07,26,228.0,417.0,1033.0
2024-02-08,33,217.0,423.0,1013.0
2024-02-12,61,192.0,429.0,999.0
2024-02-13,46,233.0,454.0,1024.0
2024-02-14,21,260.0,499.0,1033.0
2024-02-15,39,260.0,468.0,1024.0
2024-02-20,51,244.0,479.0,995.0
2024-02-21,31,277.0,505.0,1001.0
2024-02-22,55,282.0,499.0,993.0
2024-02-23,1,304.0,496.0,1015.0
2024-02-26,25,244.0,477.0,978.0
2024-02-27,35,223.0,483.0,1002.0
2024-02-28,34,237.0,497.0,962.0
2024-02-29,64,232.0,476.0,965.0
2024-03-01,1,245.0,522.0,1011.0
2024-03-04,27,215.0,497.0,974.0
2024-03-05,21,187.0,491.0,967.0
2024-03-06,47,207.0,451.0,968.0
2024-03-07,29,229.0,452.0,988.0
2024-03-08,1,223.0,460.0,981.0
2024-03-11,65,190.0,422.0,981.0
2024-03-12,58,191.0,436.0,994.0
2024-03-13,40,248.0,463.0,1024.0
2024-03-14,55,261.0,448.0,1039.0
2024-03-15,10,295.0,502.0,1057.0
2024-03-18,42,258.0,487.0,1009.0
2024-03-19,26,271.0,494.0,1031.0
2024-03-20,30,296.0,486.0,1038.0
2024-03-21,36,261.0,452.0,1047.0
2024-03-23,1,239.0,487.0,1028.0
2024-03-25,47,200.0,461.0,1011.0
2024-03-26,51,192.0,487.0,1032.0
2024-03-27,40,233.0,491.0,1050.0
2024-03-28,51,231.0,502.0,1029.0
2024-04-01,29,256.0,552.0,1034.0
2024-04-02,33,255.0,516.0,1042.0
2024-04-03,24,252.0,491.0,1036.0
2024-04-04,39,275.0,475.0,1009.0
2024-04-05,1,267.0,459.0,1017.0
2024-04-08,58,217.0,450.0,963.0
2024-04-09,27,235.0,466.0,1020.0
2024-04-15,70,211.0,467.0,1022.0
2024-04-16,64,252.0,507.0,1057.0
2024-04-17,28,283.0,535.0,1087.0
2024-04-18,42,287.0,562.0,1051.0
2024-04-19,2,290.0,557.0,1092.0
2024-04-22,50,291.0,508.0,1067.0
2024-04-23,41,283.0,518.0,1096.0
2024-04-24,21,297.0,508.0,1090.0
2024-04-25,38,248.0,500.0,1082.0
2024-04-29,65,222.0,505.0,1119.0
2024-04-30,34,259.0,546.0,1119.0
2024-05-01,57,251.0,541.0,1095.0
2024-05-02,61,306.0,597.0,1112.0
2024-05-06,39,317.0,600.0,1118.0
2024-05-07,14,315.0,612.0,1147.0
2024-05-08,42,308.0,556.0,1119.0
2024-05-09,23,312.0,534.0,1135.0
2024-05-13,29,270.0,529.0,1128.0
2024-05-14,33,265.0,516.0,1121.0
2024-05-15,45,241.0,547.0,1153.0
2024-05-16,51,225.0,542.0,1151.0
2024-05-21,45,237.0,552.0,1151.0
2024-05-22,49,268.0,576.0,1156.0
2024-05-27,104,275.0,587.0,1154.0
2024-05-28,80,356.0,626.0,1229.0
2024-05-29,102,407.0,672.0,1276.0
2024-05-30,78,476.0,717.0,1354.0
2024-05-31,2,509.0,734.0,1393.0
2024-06-03,110,460.0,697.0,1394.0
2024-06-04,72,525.0,793.0,1446.0
2024-06-05,54,548.0,823.0,1491.0
2024-06-06,72,498.0,854.0,1475.0
2024-06-08,10,490.0,897.0,1483.0
2024-06-13,105,398.0,874.0,1465.0
2024-06-14,2,425.0,934.0,1528.0
2024-06-18,87,425.0,885.0,1528.0
2024-06-19,68,402.0,927.0,1565.0
2024-06-20,76,398.0,946.0,1592.0
2024-06-24,94,420.0,918.0,1647.0
2024-06-25,64,442.0,932.0,1703.0
2024-06-26,70,496.0,894.0,1702.0
2024-06-27,120,461.0,886.0,1738.0
2024-07-02,112,579.0,1004.0,1801.0
2024-07-03,140,604.0,1006.0,1852.0
2024-07-04,104,676.0,1074.0,1953.0
2024-07-08,100,704.0,1124.0,2043.0
2024-07-12,1,710.0,1152.0,2101.0
2024-07-15,3,647.0,1143.0,2079.0
2024-07-16,3,580.0,1041.0,2053.0
2024-07-18,3,463.0,1042.0,2023.0
2024-07-22,141,354.0,958.0,1981.0
2024-07-23,57,355.0,1031.0,2071.0
2024-07-24,61,308.0,1012.0,2083.0
2024-07-25,39,269.0,979.0,2095.0
2024-07-29,54,307.0,954.0,2030.0
2024-07-30,26,358.0,938.0,2004.0
2024-07-31,20,381.0,844.0,1928.0
2024-08-01,41,398.0,752.0,1870.0
2024-08-06,81,298.0,653.0,1909.0
2024-08-07,43,322.0,630.0,1880.0
2024-08-08,46,304.0,573.0,1851.0
2024-08-09,1,311.0,618.0,1843.0
2024-08-12,47,258.0,616.0,1772.0
2024-08-13,31,279.0,660.0,1809.0
2024-08-14,29,290.0,688.0,1735.0
2024-08-15,37,278.0,576.0,1762.0
2024-08-19,52,234.0,556.0,1712.0
2024-08-20,38,243.0,547.0,1696.0
2024-08-21,29,235.0,546.0,1658.0
2024-08-22,51,263.0,521.0,1593.0
2024-08-23,4,267.0,546.0,1580.0
2024-08-26,24,240.0,530.0,1514.0
